epoch, x, y, z, vx, vy, vz
1485750567.2097397, -130016649.73814146, -1494954716.4914727, 25924646.98258459, 7.125685351574441, -0.38533687447182147, -0.5791572321901518
1485837082.6767657, -129400148.67550498, -1494987834.4469328, 25874537.11815877, 7.126125901657248, -0.3802592562581004, -0.5792451992578634
1485923598.142791, -128783609.58824725, -1495020513.095725, 25824419.650422577, 7.126564376375656, -0.3751813106142514, -0.5793329998456778
1486010113.6088164, -128167032.65592554, -1495052752.4095035, 25774294.593779396, 7.1270007755859215, -0.3701030371261402, -0.5794206339460672
1486096629.0748413, -127550418.0581097, -1495084552.3598866, 25724161.962633308, 7.127435099142577, -0.3650244353794569, -0.579508101551364
1486183144.541866, -126933765.97438222, -1495115912.9184575, 25674021.771389052, 7.127867346898434, -0.3599455049597152, -0.5795954026537615
1486269660.0078907, -126317076.58433846, -1495146834.056762, 25623874.034452036, 7.128297518704572, -0.3548662454522536, -0.5796825372453134
1486356175.473915, -125700350.06758657, -1495177315.746312, 25573718.766228393, 7.128725614410349, -0.3497866564422371, -0.5797695053179341
1486442690.9399393, -125083586.603748, -1495207357.9585814, 25523555.98112491, 7.129151633863395, -0.3447067375146539, -0.5798563068633986
1486529206.4069629, -124466786.37245736, -1495236960.6650105, 25473385.69354915, 7.129575576909616, -0.33962648825432235, -0.579942941873342
1486615721.872986, -123849949.55336268, -1495266123.8370016, 25423207.91790936, 7.12999744339319, -0.3345459082458833, -0.5800294103392608
1486702237.3390093, -123233076.32612556, -1495294847.445922, 25373022.66861456, 7.130417233156566, -0.3294649970738071, -0.5801157122525107
1486788752.805032, -122616166.87042126, -1495323131.4631028, 25322829.9600745, 7.130834946040464, -0.32438375432239125, -0.5802018476043085
1486875268.2720544, -121999221.36593895, -1495350975.85984, 25272629.806699716, 7.131250581883881, -0.319302179575762, -0.5802878163857309
1486961783.7380767, -121382239.9923818, -1495378380.607392, 25222422.2229015, 7.131664140524078, -0.3142202724178719, -0.5803736185877154
1487048299.2040985, -120765222.92946707, -1495405345.6769824, 25172207.223091956, 7.1320756217965915, -0.3091380324325044, -0.5804592542010595
1487134814.67012, -120148170.35692644, -1495431871.039799, 25121984.82168399, 7.132485025535226, -0.3040554592032724, -0.5805447232164206
